This is a logfile generated by pires.obd.readerlat:42.65805558;long:-71.32294288;alt:-3.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1462029657057;42.64082717;-71.35303578;1.0;;101kPa;90C;NODATA;54.1%;NODATA;1856RPM;NODATA;18.82g/s;null;null;NODATA;Gasoline;30C;NODATA;33km/h;NODATA;0.8%;00:06:58;22.7%;MIL is OFF0 codes;;74.5%;1.0%
1462029663099;42.64077941;-71.35400351;0.0;;101kPa;90C;NODATA;87.5%;NODATA;2032RPM;NODATA;28.67g/s;null;null;NODATA;Gasoline;30C;NODATA;51km/h;NODATA;-9.4%;00:07:04;25.1%;MIL is OFF0 codes;;58.4%;1.0%
1462029669130;42.64070155;-71.35519212;1.0;;101kPa;91C;NODATA;88.2%;NODATA;1780RPM;NODATA;29.48g/s;null;null;NODATA;Gasoline;31C;NODATA;60km/h;NODATA;-1.6%;00:07:10;28.6%;MIL is OFF0 codes;;54.9%;1.0%
1462029675171;42.64062048;-71.35625082;2.0;;101kPa;91C;NODATA;22.7%;NODATA;1221RPM;NODATA;3.71g/s;null;null;NODATA;Gasoline;34C;NODATA;45km/h;NODATA;0.0%;00:07:16;15.7%;MIL is OFF0 codes;;68.6%;0.0%
1462029681222;42.64059292;-71.35668339;4.0;;101kPa;91C;NODATA;23.1%;NODATA;1082RPM;NODATA;3.26g/s;null;null;NODATA;Gasoline;35C;NODATA;15km/h;NODATA;-1.6%;00:07:22;15.3%;MIL is OFF0 codes;;36.5%;0.0%
1462029687246;42.64057513;-71.35684633;3.0;;101kPa;91C;NODATA;27.5%;NODATA;684RPM;NODATA;2.54g/s;null;null;NODATA;Gasoline;36C;NODATA;6km/h;NODATA;0.0%;00:07:28;14.9%;MIL is OFF0 codes;;66.3%;0.0%
1462029693288;42.64058315;-71.35687709;4.0;;101kPa;92C;NODATA;29.0%;NODATA;626RPM;NODATA;2.40g/s;null;null;NODATA;Gasoline;36C;NODATA;0km/h;NODATA;0.8%;00:07:34;14.5%;MIL is OFF0 codes;;62.4%;1.0%
1462029699339;42.64058315;-71.35687709;4.0;;101kPa;93C;NODATA;27.8%;NODATA;619RPM;NODATA;2.31g/s;null;null;NODATA;Gasoline;36C;NODATA;0km/h;NODATA;0.8%;00:07:40;14.5%;MIL is OFF0 codes;;58.4%;1.0%
1462029705376;42.64057331;-71.3569284;4.0;;101kPa;93C;NODATA;27.8%;NODATA;615RPM;NODATA;2.28g/s;null;null;NODATA;Gasoline;35C;NODATA;10km/h;NODATA;0.0%;00:07:46;14.5%;MIL is OFF0 codes;;58.0%;1.0%
1462029711453;42.64051167;-71.35730669;5.0;;101kPa;91C;NODATA;61.2%;NODATA;2135RPM;NODATA;14.07g/s;null;null;NODATA;Gasoline;34C;NODATA;20km/h;NODATA;-4.7%;00:07:52;20.0%;MIL is OFF0 codes;;65.9%;1.0%
