This is a logfile generated by pires.obd.readerlat:42.55186826;long:-71.26612661;alt:43.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1460324466059;42.55760368;-71.28170786;8.0;;null;null;NODATA;null;null;1524RPM;null;null;null;null;null;null;null;null;39.15mph;null;null;00:09:04;null;null;null;null;null
1460324470063;42.55751654;-71.28252922;9.0;;null;null;NODATA;null;null;1371RPM;null;null;null;null;null;null;null;null;37.90mph;null;null;00:09:07;null;null;null;null;null
1460324474069;42.55742958;-71.28336021;9.0;;null;null;NODATA;null;null;1655RPM;null;null;null;null;null;null;null;null;37.90mph;null;null;00:09:11;null;null;null;null;null
1460324478084;42.55742462;-71.28418438;11.0;;null;null;NODATA;null;null;1372RPM;null;null;null;null;null;null;null;null;38.53mph;null;null;00:09:15;null;null;null;null;null
1460324482090;42.55769163;-71.2849863;12.0;;null;null;NODATA;null;null;1261RPM;null;null;null;null;null;null;null;null;32.31mph;null;null;00:09:19;null;null;null;null;null
1460324486095;42.55781832;-71.28542446;11.0;;null;null;NODATA;null;null;981RPM;null;null;null;null;null;null;null;null;29.83mph;null;null;00:09:23;null;null;null;null;null
1460324490111;42.55785573;-71.28622424;13.0;;null;null;NODATA;null;null;1634RPM;null;null;null;null;null;null;null;null;28.58mph;null;null;00:09:27;null;null;null;null;null
1460324494115;42.55785038;-71.28673029;14.0;;null;null;NODATA;null;null;1760RPM;null;null;null;null;null;null;null;null;30.45mph;null;null;00:09:31;null;null;null;null;null
1460324498118;42.55790765;-71.2875444;17.0;;null;null;NODATA;null;null;1770RPM;null;null;null;null;null;null;null;null;30.45mph;null;null;00:09:35;null;null;null;null;null
1460324502127;42.55803814;-71.28817969;19.0;;null;null;NODATA;null;null;1967RPM;null;null;null;null;null;null;null;null;29.83mph;null;null;00:09:39;null;null;null;null;null
1460324506143;42.5581853;-71.28884511;20.0;;null;null;NODATA;null;null;1985RPM;null;null;null;null;null;null;null;null;30.45mph;null;null;00:09:43;null;null;null;null;null
1460324510147;42.55833685;-71.28953236;22.0;;null;null;NODATA;null;null;2124RPM;null;null;null;null;null;null;null;null;32.31mph;null;null;00:09:47;null;null;null;null;null
1460324514158;42.55851294;-71.2901599;26.0;;null;null;NODATA;null;null;1624RPM;null;null;null;null;null;null;null;null;31.07mph;null;null;00:09:51;null;null;null;null;null
1460324518164;42.55870895;-71.2907473;28.0;;null;null;NODATA;null;null;1663RPM;null;null;null;null;null;null;null;null;29.83mph;null;null;00:09:55;null;null;null;null;null
1460324522169;42.55887907;-71.29117129;28.0;;null;null;NODATA;null;null;1753RPM;null;null;null;null;null;null;null;null;29.83mph;null;null;00:09:59;null;null;null;null;null
1460324526176;42.5590794;-71.29169167;30.0;;null;null;NODATA;null;null;1844RPM;null;null;null;null;null;null;null;null;28.58mph;null;null;00:10:02;null;null;null;null;null
1460324530180;42.55939057;-71.29248786;32.0;;null;null;NODATA;null;null;1833RPM;null;null;null;null;null;null;null;null;30.45mph;null;null;00:10:07;null;null;null;null;null
1460324534191;42.55963209;-71.29307882;35.0;;null;null;NODATA;null;null;1230RPM;null;null;null;null;null;null;null;null;29.83mph;null;null;00:10:11;null;null;null;null;null
1460324538197;42.55988735;-71.29366545;34.0;;null;null;NODATA;null;null;1546RPM;null;null;null;null;null;null;null;null;32.93mph;null;null;00:10:15;null;null;null;null;null
1460324542202;42.56016663;-71.29422091;35.0;;null;null;NODATA;null;null;1111RPM;null;null;null;null;null;null;null;null;31.69mph;null;null;00:10:18;null;null;null;null;null
1460324546207;42.56053428;-71.29479684;35.0;;null;null;NODATA;null;null;1210RPM;null;null;null;null;null;null;null;null;33.55mph;null;null;00:10:22;null;null;null;null;null
1460324550223;42.56095724;-71.29538712;30.0;;null;null;NODATA;null;null;1292RPM;null;null;null;null;null;null;null;null;37.28mph;null;null;00:10:26;null;null;null;null;null
1460324554229;42.56136662;-71.29594733;28.0;;null;null;NODATA;null;null;1249RPM;null;null;null;null;null;null;null;null;37.28mph;null;null;00:10:30;null;null;null;null;null
1460324558242;42.56172864;-71.29646645;29.0;;null;null;NODATA;null;null;1253RPM;null;null;null;null;null;null;null;null;34.80mph;null;null;00:10:34;null;null;null;null;null
1460324562263;42.56186201;-71.29674625;28.0;;null;null;NODATA;null;null;1135RPM;null;null;null;null;null;null;null;null;22.37mph;null;null;00:10:38;null;null;null;null;null
1460324566283;42.56188269;-71.29680789;25.0;;null;null;NODATA;null;null;608RPM;null;null;null;null;null;null;null;null;2.49mph;null;null;00:10:42;null;null;null;null;null
1460324570297;42.56188269;-71.29680789;25.0;;null;null;NODATA;null;null;650RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:10:46;null;null;null;null;null
1460324574310;42.56188269;-71.29680789;25.0;;null;null;NODATA;null;null;617RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:10:50;null;null;null;null;null
1460324578325;42.56188269;-71.29680789;25.0;;null;null;NODATA;null;null;616RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:10:54;null;null;null;null;null
